Item_Code,Material_Code,Qty,T_B,Package,Cell
EP94-04820A,2703-001724,1,SB,P0802,1
EP94-04820A,2703-001724,1,SB,P0802,1
EP94-04820A,2703-001724,1,SB,P0802,1
EP94-04820A,2703-001724,1,SB,P0802,1
EP94-04820A,2703-001724,1,SB,P0802,1
EP94-04820A,2703-001724,1,SB,P0802,1
EP94-04820A,2703-001724,1,SB,P0802,1
EP94-04820A,2703-001724,1,SB,P0802,1
EP94-04820A,2703-001724,1,SB,P0802,1
EP94-04820A,2703-001724,1,SB,P0802,1
EP94-04820A,2703-001724,1,SB,P0802,1
EP94-04820A,2703-001724,1,SB,P0802,1
EP94-04820A,2703-001724,1,SB,P0802,1
EP94-04820A,2703-001724,1,SB,P0802,1
EP94-04820A,2703-001724,1,SB,P0802,1
EP94-04820A,2703-002530,1,SB,E1612_L,2.1
EP94-04820A,2703-002530,1,SB,E1612_L,2.1
EP94-04820A,2703-004720,1,SB,E2416_L,3
EP94-04820A,2703-005110,1,SB,E2416_L,3
EP94-04820A,2703-005110,1,SB,E2416_L,3
EP94-04820A,2703-005110,1,SB,E2416_L,3
EP94-04820A,2703-005502,1,SB,E1208_L,2.1
EP94-04820A,2703-005506,1,SB,E2416_L,3
EP94-04820A,2703-005506,1,SB,E2416_L,3
EP94-04820A,2703-005753,1,SB,E2416,3
EP94-04820A,2703-005753,1,SB,E2416,3
EP94-04820A,2703-005753,1,SB,E2416,3
EP94-04820A,2703-005753,1,SB,E2416,3
EP94-04820A,2703-005753,1,SB,E2416,3
EP94-04820A,2703-005753,1,SB,E2416,3
EP94-04820A,2703-005762,1,SB,E1612_L,2.1
EP94-04820A,2804-002089,1,SB,E0804_L,1
EP94-04820A,2809-001440,1,SB,E1612,2.1
EP94-04820A,2901-001299,1,SB,P0804,1
EP94-04820A,2901-001299,1,SB,P0804,1
EP94-04820A,2901-001299,1,SB,P0804,1
EP94-04820A,2901-001299,1,SB,P0804,1
EP94-04820A,2901-001628,1,SB,E0804_L,1
EP94-04820A,2901-001628,1,SB,E0804_L,1
EP94-04820A,2901-001835,1,SB,E0804,1
EP94-04820A,2901-001835,1,SB,E0804,1
EP94-04820A,2901-001835,1,SB,E0804,1
EP94-04820A,2901-001835,1,SB,E0804,1
EP94-04820A,3301-001789,1,SB,P0802,1
EP94-04820A,3301-001814,1,SB,P0804,1
EP94-04820A,3301-001814,1,SB,P0804,1
EP94-04820A,3301-001814,1,SB,P0804,1
EP94-04820A,3301-001814,1,SB,P0804,1
EP94-04820A,3301-001814,1,SB,P0804,1
EP94-04820A,3301-001814,1,SB,P0804,1
EP94-04820A,3301-001885,1,SB,P0802,1
EP94-04820A,3301-001885,1,SB,P0802,1
EP94-04820A,3301-001898,1,SB,P0804,1
EP94-04820A,3301-001898,1,SB,P0804,1
EP94-04820A,3301-001898,1,SB,P0804,1
EP94-04820A,3301-001898,1,SB,P0804,1
EP94-04820A,3301-001901,1,SB,P0804,1
EP94-04820A,3301-001901,1,SB,P0804,1
EP94-04820A,3301-001901,1,SB,P0804,1
EP94-04820A,3301-001901,1,SB,P0804,1
EP94-04820A,3301-001901,1,SB,P0804,1
EP94-04820A,3301-001901,1,SB,P0804,1
EP94-04820A,3301-001901,1,SB,P0804,1
EP94-04820A,3301-001922,1,SB,P0802,1
EP94-04820A,3301-001922,1,SB,P0802,1
EP94-04820A,3301-001922,1,SB,P0802,1
EP94-04820A,3301-001922,1,SB,P0802,1
EP94-04820A,3301-001922,1,SB,P0802,1
EP94-04820A,3301-001922,1,SB,P0802,1
EP94-04820A,3301-001922,1,SB,P0802,1
EP94-04820A,3301-001922,1,SB,P0802,1
EP94-04820A,3301-001922,1,SB,P0802,1
EP94-04820A,3301-001922,1,SB,P0802,1
EP94-04820A,3301-002369,1,SB,P0802,1
EP94-04820A,3301-002369,1,SB,P0802,1
EP94-04820A,3710-004365,1,SB,E2416,3
EP94-04820A,3710-004365,1,SB,E2416,3
EP94-04820A,3711-009147,1,SB,3711-009147_0608,6
EP94-04820A,3719-002619,1,SB,E7224,7
EP94-04820A,3719-002619,1,SB,E7224,7
EP94-04820A,3722-002712,1,SB,E2416_L,3
EP94-04820A,3722-004067,1,SB,3722-004067_0510,6
EP94-04820A,4709-002972,1,SB,P0804,1
EP94-04820A,4709-002972,1,SB,P0804,1
EP94-04820A,4709-002972,1,SB,P0804,1
EP94-04820A,4709-002972,1,SB,P0804,1
EP94-04820A,4709-003005,1,SB,P0804,1
EP94-04820A,4709-003005,1,SB,P0804,1
EP94-04820A,4709-003005,1,SB,P0804,1
EP94-04820A,4709-003005,1,SB,P0804,1
EP94-04820A,4709-003005,1,SB,P0804,1
EP94-04820A,4709-003005,1,SB,P0804,1
EP94-04820A,4709-003005,1,SB,P0804,1
EP94-04820A,4709-003005,1,SB,P0804,1
EP94-04820A,4709-003008,1,SB,P0804,1
EP94-04820A,4709-003008,1,SB,P0804,1
EP94-04820A,4709-003008,1,SB,P0804,1
EP94-04820A,4709-003008,1,SB,P0804,1
EP94-04820A,4715-001189,1,SB,E1212,2.1
EP94-04820A,4715-001190,1,SB,E1208_L,2.1
EP94-04820A,4715-001190,1,SB,E1208_L,2.1
EP94-04820A,EP26-00023A,1,SB,EP26-00023A_0406,6
EP94-04820A,EP27-00031A,1,SB,E4428_L,5
EP94-04820A,EP27-00031A,1,SB,E4428_L,5
EP94-04820A,EP27-00031A,1,SB,E4428_L,5
EP94-04820A,0202-001791,13,ST,-,0
EP94-04820A,0202-001950,1,ST,P0804,1.0
EP94-04820A,0202-001950,1,ST,P0804,1.0
EP94-04820A,0202-001950,1,ST,P0804,1.0
EP94-04820A,0202-001950,1,ST,P0804,1.0
EP94-04820A,0202-001950,1,ST,P0804,1.0
